Product Name,Category,Sub-category,Company,Retail Price,Consumer Price,Bulk Price,Bulk Limit,imageUrl,imageUrl
SHAHI ELAICHI Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,https://admin.dealcart.io/products/medium-1731580196821-Shahi%20Elaichi%20Box%20Rs.%205%20%281x48%29%20%285%20Packs%29..webp,https://admin.dealcart.io/products/medium-1731580196821-Shahi%20Elaichi%20Box%20Rs.%205%20%281x48%29%20%285%20Packs%29..webp
SHAHI DELUXE Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,,
SHAHI DEEVAAN Rs.5 (24Pcs),Sweet Supari,Mouth Freshner,Supari,120,200,195,3,https://admin.dealcart.io/products/medium-1702539013753-Category%20Tile%20Grid-7%20%282%29..webp,https://admin.dealcart.io/products/medium-1702539013753-Category%20Tile%20Grid-7%20%282%29..webp
SHAHI SUPERMINT Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,https://admin.dealcart.io/products/medium-1702539013753-Category%20Tile%20Grid-7%20%282%29..webp,https://admin.dealcart.io/products/medium-1702539013753-Category%20Tile%20Grid-7%20%282%29..webp
ELAICHI PLUS Rs.5 (24Pcs),Sweet Supari,Mouth Freshner,Supari,120,105,100,3,https://admin.dealcart.io/products/medium-1729239637938-Tulsi%20Elaichi%20Pearl%20Rs.5%20%281x24%29_11zon..webp,https://admin.dealcart.io/products/medium-1729239637938-Tulsi%20Elaichi%20Pearl%20Rs.5%20%281x24%29_11zon..webp
BLACK JUMBO Rs.30 (12Pcs),Sweet Supari,Supari,Supari,360,330,310,2,https://admin.dealcart.io/products/medium-1762340493321-MayFair%20Fruit%20Gala%20Jumbo%20Black%20Current%20Rs.2%20%281x100%29..webp,https://admin.dealcart.io/products/medium-1762340493321-MayFair%20Fruit%20Gala%20Jumbo%20Black%20Current%20Rs.2%20%281x100%29..webp
SINDH JUMBO Rs.30 (12Pcs),Sweet Supari,Supari,Supari,360,330,310,2,https://admin.dealcart.io/products/medium-1756888531762-Chefs%20Pride%20Sindhi%20Biryani%20Rs.%20140..webp,https://admin.dealcart.io/products/medium-1756888531762-Chefs%20Pride%20Sindhi%20Biryani%20Rs.%20140..webp
Jigsaw Puzzle Rs.10 (12Pcs),Sour & Sweets,Bubble,JoJo,120,105,100,,https://admin.dealcart.io/products/medium-1723472237678-HANDAIYAN%2012%20Colors%20Matte%20Liquid%20Lipstick%20Set%202..webp,https://admin.dealcart.io/products/medium-1723472237678-HANDAIYAN%2012%20Colors%20Matte%20Liquid%20Lipstick%20Set%202..webp
Fizzy Bottle Rs.10 (24Pcs),Sour & Sweets,Bubble,JoJo,240,210,205,,https://admin.dealcart.io/products/medium-1758019965147-7up%20Silver%20Rs.5%20%281x48%29_11zon..webp,https://admin.dealcart.io/products/medium-1758019965147-7up%20Silver%20Rs.5%20%281x48%29_11zon..webp
Sour Spinner Bubble Rs.5 (48Pcs),Sour & Sweets,Bubble,JoJo,240,210,205,,https://admin.dealcart.io/36_store_Mon%20Nov%2003%202025%2020%3A31%3A19%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29,https://admin.dealcart.io/36_store_Mon%20Nov%2003%202025%2020%3A31%3A19%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29
